transaction_id,customer_id,customer_name,customer_email,transaction_timestamp,product_code,product_name,amount,payment_method,shipping_address,order_status,customer_feedback
TXN-20251016-000000,CUST-EU-0126,  mary hernandez  ,MARY.HERNANDEZ@SHOP.COM,"October 16, 2025 at 3:17PM",CLOTH-JACKET-7873,Levis Jeans 32x34,$232.47,credit_card,"3528 Park Ave, London, UK, SW1A 1AA",Cancelled - 16/10/2025,Amazing! Highly recommend ⭐⭐⭐⭐⭐
TXN-20240214-000001,CUST-US-0275,Dr. David Johnson,DAVID.JOHNSON@TEST.COM,02/14/2024 09:24 PM,CLOTH-DRESS-2307,Levis Jeans 32x34,$253.55,Debit Card - Visa,"1170 High Street, Liverpool, UK, M1 1AA",Shipped (est. arrival: February 20),Good value for money
TXN-20240812-000002,CUST-US-0432,mr. john wilson,john.wilson@test.com,12/08/2024 12:15,BOOK-EBOOK-8517,Data Science Handbook,£33.65,DEBIT CARD - Mastercard,"3594 High Street, Liverpool, UK, LS1 1AA",Delivered on 14/08/2024,Poor quality 😞
TXN-20251127-000003,CUST-CA-0196,james jones,james.jones@email.com,27/11/2025 00:46,HOME-BEDDING-3591,Queen Bedding Set,$1458.68,Debit Card - Visa,"8318 High Street, Birmingham, UK, M1 1AA",Delivered on 2025-12-04,
TXN-20250106-000004,CUST-ASIA-0426,SARAH MARTINEZ,sarah.martinez@example.com,06/01/2025 10:33,CLOTH-PANTS-8787,Cotton T-Shirt,£290.02,Debit Card - Visa,"6538 Park Ave, Leeds, UK, L1 1AA",Cancelled - 06/01/2025,
TXN-20240122-000005,CUST-CA-0118,MARY LOPEZ,MARY.LOPEZ@EMAIL.COM,22/01/2024 19:56,BOOK-NONFICTION-9834,Data Science Handbook,€31.87,Credit Card (Mastercard),"7063 Main St, Houston, NY 63883",Delivered on 30/01/2024,
TXN-20240911-000006,CUST-UK-0275,,robert.jones@mail.com,"September 11, 2024 at 11:59PM",ELEC-PHONE-9856,iPhone 15 Pro Max (256GB),,Credit Card (Visa),"2698 Park Ave, Chicago, TX 61173",Cancelled,Good value for money
TXN-20251108-000007,CUST-US-0496,MR. JAMES SMITH,james.smith@test.com,"November 8, 2025 at 7:04AM",ELEC-AUDIO-2312,Samsung Galaxy S24,£837.36,Credit Card (Mastercard),"6869 Elm Street, Liverpool, UK, B1 1AA",Processing,Not worth the price
TXN-20240901-000008,CUST-ASIA-0331,JOSEPH WILSON,JOSEPH.WILSON@TEST.COM,"September 1, 2024 at 10:56PM",CLOTH-JACKET-5345,Levis Jeans 32x34,$123.47,Debit Card - Visa,"8667 High Street, Chicago, NY 82692",Processing,
TXN-20240419-000009,CUST-ASIA-0080,MR. SARAH LOPEZ,SARAH.LOPEZ@EMAIL.COM,2024-04-19T05:21:49Z,ELEC-PHONE-7939,"MacBook Pro 14""",$1960.61,Apple Pay,"9190 Main St, Los Angeles, AZ 19862",Processing,Poor quality 😞
TXN-20250316-000010,CUST-US-0461,,,03/16/2025 03:47 AM,CLOTH-PANTS-3900,Leather Jacket [L],$280.63,Credit Card (Mastercard),"6268 Oak Road, Manchester, UK, M1 1AA",Cancelled - 17/03/2025,Average product
TXN20240816000011,CUST-UK-0099,Dr. Linda Johnson,LINDA.JOHNSON@TEST.COM,16/08/2024 08:27,HOME-DECOR-5349,Modern Sofa Set,£491.11,PayPal,"4174 Elm Street, New York, AZ 67154",Shipped (est. arrival: August 21),Not worth the price
TXN-20250930-000012,CUST-US-0435,Dr. Michael Rodriguez,michael.rodriguez@test.com,09/30/2025 04:00 PM,BOOK-NONFICTION-5930,Digital Marketing eBook,£48.69,Google Pay,,Delivered on 06/10/2025,Not worth the price
TXN-20240405-000013,CUST-EU-0385,  SARAH WILSON  ,sarah.wilson@mail.com,05/04/2024 15:15,BOOK-EBOOK-4185,Digital Marketing eBook,$10.50,CREDIT CARD,"7612 High Street, New York, TX 42662",Cancelled,Not worth the price
TXN-20250329-000014,CUST-UK-0259,James Davis,JAMES.DAVIS@SHOP.COM,2025-03-29T15:45:18Z,SPORT-WATER-4919,Basketball Official,£184.53,Apple Pay,"2504 Main St, Leeds, UK, LS1 1AA",Processing,Perfect! 5/5 stars
TXN-20240304-000015,CUST-UK-0216,Jennifer Lopez,JENNIFER.LOPEZ@EXAMPLE.COM,03/04/2024 08:57 PM,BOOK-EBOOK-9818,Business Magazine,,Apple Pay,"2705 High Street, Liverpool, UK, L1 1AA",Delivered on 12/03/2024,Excellent quality 👍
TXN-20251020-000016,CUST-US-0094,Ms. Emma Brown,,"October 20, 2025 at 11:04AM",ELEC-AUDIO-1853,"MacBook Pro 14""",,Credit Card (Visa),"2497 High Street, New York, AZ 72070",Cancelled - 22/10/2025,
TXN-20250913-000017,CUST-EU-0399,Mary Martinez,mary.martinez@mail.com,13/09/2025 19:19,ELEC-AUDIO-4978,iPhone 15 Pro Max (256GB),£1620.78,Apple Pay,"6072 Oak Road, Chicago, NY 94874",Cancelled - 13/09/2025,Disappointed 😢
TXN-20251225-000018,CUST-ASIA-0268,Ms. Joseph Rodriguez,joseph.rodriguez@email.com,25/12/2025 19:36,ELEC-TABLET-8385,Samsung Galaxy S24,€705.97,PayPal,"5814 Park Ave, Birmingham, UK, L1 1AA",Processing,Good value for money
TXN-20240714-000019,CUST-CA-0251,ms. patricia davis,patricia.davis@mail.com,14/07/2024 16:27,SPORT-TEAM-8753,Ski Jacket Waterproof,€192.11,Credit Card (Mastercard),,Cancelled,Good value for money
TXN-20250903-000020,CUST-EU-0052,DR. EMMA WILLIAMS,invalid-email,09/03/2025 08:00 AM,SPORT-TEAM-3068,Diving Gear Set,252.39,Google Pay,"1870 Oak Road, Leeds, UK, SW1A 1AA",Delivered on 2025-09-07,Amazing! Highly recommend ⭐⭐⭐⭐⭐
TXN-20240328-000021,CUST-CA-0061,Jennifer Martinez,jennifer.martinez@email.com,2024-03-28T22:06:48Z,HOME-LIGHTING-1986,LED Floor Lamp,,Credit Card (Mastercard),"2565 Park Ave, Phoenix, TX 69048",Delivered on 2024-04-02,Disappointed 😢
TXN-20240313-000022,CUST-ASIA-0474,William Martinez,WILLIAM.MARTINEZ@EMAIL.COM,13/03/2024 09:44,CLOTH-DRESS-5728,Leather Jacket [L],£283.95,Credit Card (Visa),"7079 Elm Street, Birmingham, UK, SW1A 1AA",Delivered on 18/03/2024,Arrived damaged 😠
